Player,Nation,Pos,Age,90s,SCASCA,SCASCA90,SCA_TypesPassLive,SCA_TypesPassDead,SCA_TypesTO,SCA_TypesSh,SCA_TypesFld,SCA_TypesDef,GCAGCA,GCAGCA90,GCA_TypesPassLive,GCA_TypesPassDead,GCA_TypesTO,GCA_TypesSh,GCA_TypesFld,GCA_TypesDef
Dejan Kulusevski,se SWE,"MF,FW",24.82,22.7,119,5.25,87,12,15,2,3,0,9,0.4,7,1,1,0,0,0
Pedro Porro,es ESP,DF,25.43,23.1,78,3.38,54,13,3,5,3,0,7,0.3,3,3,1,0,0,0
Son Heung-min,kr KOR,FW,32.61,18.6,96,5.17,72,7,10,4,3,0,11,0.59,11,0,0,0,0,0
Dominic Solanke,eng ENG,FW,27.43,17.8,33,1.86,22,0,0,8,2,1,7,0.39,5,0,0,1,1,0
Destiny Udogie,it ITA,DF,22.22,15.9,28,1.76,25,0,0,1,0,2,3,0.19,2,0,0,0,0,1
Brennan Johnson,wls WAL,FW,23.74,16.9,38,2.25,26,0,5,4,2,1,6,0.36,5,0,1,0,0,0
James Maddison,eng ENG,MF,28.24,15.1,68,4.5,49,7,4,3,5,0,13,0.86,9,1,2,1,0,0
Pape Matar Sarr,sn SEN,MF,22.43,14.2,32,2.25,26,1,2,2,0,1,6,0.42,4,0,1,1,0,0
Radu Drăgușin,ro ROU,DF,23.04,13.9,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0
Guglielmo Vicario,it ITA,GK,28.36,13.0,3,0.23,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Yves Bissouma,ml MLI,MF,28.47,11.7,13,1.12,12,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Cristian Romero,ar ARG,DF,26.81,10.8,16,1.48,13,0,0,3,0,0,2,0.18,2,0,0,0,0,0
Rodrigo Bentancur,uy URU,MF,27.65,10.5,26,2.48,21,0,1,3,0,1,1,0.1,1,0,0,0,0,0
Archie Gray,eng ENG,DF,18.94,10.8,2,0.18,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Micky van de Ven,nl NED,DF,23.83,8.8,9,1.03,6,0,0,2,1,0,2,0.23,2,0,0,0,0,0
Djed Spence,eng ENG,DF,24.53,8.6,16,1.87,11,0,4,1,0,0,3,0.35,2,0,1,0,0,0
Ben Davies,wls WAL,DF,31.82,7.0,3,0.43,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fraser Forster,eng ENG,GK,36.92,7.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lucas Bergvall,se SWE,MF,19.04,7.4,11,1.48,7,2,0,2,0,0,2,0.27,1,0,0,1,0,0
Timo Werner,de GER,"FW,MF",28.95,5.6,18,3.18,14,0,2,1,1,0,3,0.53,3,0,0,0,0,0
Antonín Kinský,cz CZE,GK,21.93,4.0,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Richarlison,br BRA,FW,27.77,3.1,8,2.57,5,0,0,2,1,0,1,0.32,1,0,0,0,0,0
Mikey Moore,eng ENG,"FW,MF",17.52,2.1,10,4.86,6,2,0,1,1,0,2,0.97,1,0,0,1,0,0
Wilson Odobert,fr FRA,FW,20.22,1.8,4,2.18,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Brandon Austin,eng ENG,GK,26.11,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mathys Tel,fr FRA,FW,19.81,1.0,2,2.0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Kevin Danso,at AUT,DF,26.41,0.9,1,1.17,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Sergio Reguilón,es ESP,DF,28.17,1.4,1,0.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alfie Dorrington,eng ENG,DF,19.83,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dane Scarlett,eng ENG,FW,20.90,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Will Lankshear,eng ENG,"FW,MF",19.83,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
