Player,Nation,Pos,Age,90s,PerformanceCrdY,PerformanceCrdR,Performance2CrdY,PerformanceFls,PerformanceFld,PerformanceOff,PerformanceCrs,PerformanceInt,PerformanceTklW,PerformancePKwon,PerformancePKcon,PerformanceOG,PerformanceRecov,Aerial_DuelsWon,Aerial_DuelsLost,Aerial_DuelsWon%
Dejan Kulusevski,se SWE,"MF,FW",24.82,22.7,3,0,0,35,31,5,88,10,19,0,0,0,102,9,11,45.0
Pedro Porro,es ESP,DF,25.43,23.1,2,0,0,17,22,1,142,28,38,0,0,0,121,10,21,32.3
Son Heung-min,kr KOR,FW,32.61,18.6,1,0,0,4,22,11,58,4,9,0,0,0,67,5,10,33.3
Dominic Solanke,eng ENG,FW,27.43,17.8,0,0,0,27,28,4,4,0,9,0,0,1,30,33,43,43.4
Destiny Udogie,it ITA,DF,22.22,15.9,2,0,0,22,30,1,17,17,31,0,0,0,83,11,13,45.8
Brennan Johnson,wls WAL,FW,23.74,16.9,3,0,0,19,15,5,39,4,20,1,0,0,43,7,15,31.8
James Maddison,eng ENG,MF,28.24,15.1,4,0,0,23,48,2,78,11,13,0,0,0,58,5,6,45.5
Pape Matar Sarr,sn SEN,MF,22.43,14.2,4,0,0,20,25,2,7,19,24,0,1,0,91,20,29,40.8
Radu Drăgușin,ro ROU,DF,23.04,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0
Guglielmo Vicario,it ITA,GK,28.36,13.0,1,0,0,0,1,0,0,1,0,0,0,0,21,5,0,100.0
Yves Bissouma,ml MLI,MF,28.47,11.7,5,0,0,17,14,0,2,13,23,0,1,0,63,4,6,40.0
Cristian Romero,ar ARG,DF,26.81,10.8,1,0,0,7,9,1,3,13,23,0,0,0,63,27,23,54.0
Rodrigo Bentancur,uy URU,MF,27.65,10.5,5,0,0,20,4,0,2,23,13,0,0,0,75,22,15,59.5
Archie Gray,eng ENG,DF,18.94,10.8,0,0,0,6,5,0,5,8,4,0,0,1,45,8,5,61.5
Micky van de Ven,nl NED,DF,23.83,8.8,4,0,0,8,6,0,0,9,5,0,0,0,54,16,16,50.0
Djed Spence,eng ENG,DF,24.53,8.6,3,1,1,8,9,1,14,9,23,0,0,0,39,11,8,57.9
Ben Davies,wls WAL,DF,31.82,7.0,2,0,0,7,3,0,1,7,4,0,0,0,23,27,24,52.9
Fraser Forster,eng ENG,GK,36.92,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Lucas Bergvall,se SWE,MF,19.04,7.4,3,0,0,13,11,0,12,14,14,0,0,0,48,6,7,46.2
Timo Werner,de GER,"FW,MF",28.95,5.6,0,0,0,3,5,5,28,1,4,0,0,0,18,0,1,0.0
Antonín Kinský,cz CZE,GK,21.93,4.0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,100.0
Richarlison,br BRA,FW,27.77,3.1,1,0,0,4,7,1,7,0,3,0,0,0,8,7,14,33.3
Mikey Moore,eng ENG,"FW,MF",17.52,2.1,0,0,0,3,4,2,12,1,0,0,0,0,5,1,4,20.0
Wilson Odobert,fr FRA,FW,20.22,1.8,0,0,0,0,2,0,5,0,2,0,0,0,11,3,0,100.0
Brandon Austin,eng ENG,GK,26.11,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0
Mathys Tel,fr FRA,FW,19.81,1.0,0,0,0,3,1,0,2,0,0,0,0,0,7,1,0,100.0
Kevin Danso,at AUT,DF,26.41,0.9,0,0,0,0,1,0,1,1,0,0,0,0,2,0,2,0.0
Sergio Reguilón,es ESP,DF,28.17,1.4,2,0,0,2,5,0,10,2,3,0,0,0,9,5,2,71.4
Alfie Dorrington,eng ENG,DF,19.83,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NULL
Dane Scarlett,eng ENG,FW,20.90,0.1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NULL
Will Lankshear,eng ENG,"FW,MF",19.83,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NULL
