Player,Nation,Pos,Age,90s,StandardGls,StandardSh,StandardSoT,StandardSoT%,StandardSh/90,StandardSoT/90,StandardG/Sh,StandardG/SoT,StandardDist,StandardFK,StandardPK,StandardPKatt,ExpectedxG,ExpectednpxG,ExpectednpxG/Sh,ExpectedG-xG,Expectednp:G-xG
Dejan Kulusevski,se SWE,"MF,FW",24.82,22.7,6,42,15,35.7,1.85,0.66,0.14,0.4,14.6,0,0,0,4.0,4.0,0.1,2.0,2.0
Pedro Porro,es ESP,DF,25.43,23.1,2,35,8,22.9,1.52,0.35,0.06,0.25,22.8,3,0,0,1.5,1.5,0.04,0.5,0.5
Son Heung-min,kr KOR,FW,32.61,18.6,6,44,21,47.7,2.37,1.13,0.14,0.29,17.5,1,0,1,5.2,4.4,0.1,0.8,1.6
Dominic Solanke,eng ENG,FW,27.43,17.8,7,46,19,41.3,2.59,1.07,0.15,0.37,12.3,0,0,0,8.5,8.5,0.19,-1.5,-1.5
Destiny Udogie,it ITA,DF,22.22,15.9,0,5,1,20.0,0.31,0.06,0.0,0.0,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Brennan Johnson,wls WAL,FW,23.74,16.9,7,45,16,35.6,2.67,0.95,0.16,0.44,11.7,0,0,0,8.0,8.0,0.18,-1.0,-1.0
James Maddison,eng ENG,MF,28.24,15.1,9,36,17,47.2,2.38,1.12,0.25,0.53,16.0,4,0,0,5.7,5.7,0.16,3.3,3.3
Pape Matar Sarr,sn SEN,MF,22.43,14.2,2,22,11,50.0,1.54,0.77,0.09,0.18,22.4,0,0,0,2.4,2.4,0.11,-0.4,-0.4
Radu Drăgușin,ro ROU,DF,23.04,13.9,0,5,1,20.0,0.36,0.07,0.0,0.0,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Guglielmo Vicario,it ITA,GK,28.36,13.0,0,0,0,NULL,0.0,0.0,NULL,NULL,NULL,0,0,0,0.0,0.0,NULL,0.0,0.0
Yves Bissouma,ml MLI,MF,28.47,11.7,2,8,3,37.5,0.69,0.26,0.25,0.67,23.2,0,0,0,0.5,0.5,0.06,1.5,1.5
Cristian Romero,ar ARG,DF,26.81,10.8,1,11,4,36.4,1.02,0.37,0.09,0.25,9.4,0,0,0,1.1,1.1,0.1,-0.1,-0.1
Rodrigo Bentancur,uy URU,MF,27.65,10.5,2,16,3,18.8,1.52,0.29,0.13,0.67,19.6,0,0,0,0.8,0.8,0.05,1.2,1.2
Archie Gray,eng ENG,DF,18.94,10.8,0,1,1,100.0,0.09,0.09,0.0,0.0,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Micky van de Ven,nl NED,DF,23.83,8.8,0,5,1,20.0,0.57,0.11,0.0,0.0,10.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Djed Spence,eng ENG,DF,24.53,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,27.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Ben Davies,wls WAL,DF,31.82,7.0,0,2,0,0.0,0.29,0.0,0.0,NULL,13.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Fraser Forster,eng ENG,GK,36.92,7.0,0,0,0,NULL,0.0,0.0,NULL,NULL,NULL,0,0,0,0.0,0.0,NULL,0.0,0.0
Lucas Bergvall,se SWE,MF,19.04,7.4,0,7,1,14.3,0.94,0.13,0.0,0.0,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Timo Werner,de GER,"FW,MF",28.95,5.6,0,8,3,37.5,1.42,0.53,0.0,0.0,18.2,0,0,0,1.0,1.0,0.12,-1.0,-1.0
Antonín Kinský,cz CZE,GK,21.93,4.0,0,0,0,NULL,0.0,0.0,NULL,NULL,NULL,0,0,0,0.0,0.0,NULL,0.0,0.0
Richarlison,br BRA,FW,27.77,3.1,2,6,3,50.0,1.94,0.97,0.33,0.67,8.4,0,0,0,1.2,1.2,0.2,0.8,0.8
Mikey Moore,eng ENG,"FW,MF",17.52,2.1,0,3,0,0.0,1.46,0.0,0.0,NULL,19.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Wilson Odobert,fr FRA,FW,20.22,1.8,0,6,0,0.0,3.25,0.0,0.0,NULL,16.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Brandon Austin,eng ENG,GK,26.11,1.0,0,0,0,NULL,0.0,0.0,NULL,NULL,NULL,0,0,0,0.0,0.0,NULL,0.0,0.0
Mathys Tel,fr FRA,FW,19.81,1.0,0,7,3,42.9,7.0,3.0,0.0,0.0,15.5,0,0,0,0.7,0.7,0.1,-0.7,-0.7
Kevin Danso,at AUT,DF,26.41,0.9,0,1,0,0.0,1.17,0.0,0.0,NULL,11.7,0,0,0,0.0,0.0,0.04,0.0,0.0
Sergio Reguilón,es ESP,DF,28.17,1.4,0,1,0,0.0,0.73,0.0,0.0,NULL,5.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Alfie Dorrington,eng ENG,DF,19.83,0.2,0,0,0,NULL,0.0,0.0,NULL,NULL,NULL,0,0,0,0.0,0.0,NULL,0.0,0.0
Dane Scarlett,eng ENG,FW,20.90,0.1,0,0,0,NULL,0.0,0.0,NULL,NULL,NULL,0,0,0,0.0,0.0,NULL,0.0,0.0
Will Lankshear,eng ENG,"FW,MF",19.83,0.1,0,0,0,NULL,0.0,0.0,NULL,NULL,NULL,0,0,0,0.0,0.0,NULL,0.0,0.0
